Type1,Type2,Type3,Rooms,Bathroom,Car,Landsize,BuildingArea,Distance,YearBuilt,Price
1,0,0,4,3,2,1001,315,21.8,2012,990000
1,0,0,5,4,2,1000,324,13.7,1950,2600000
1,0,0,4,1,1,1000,203,10.7,1960,1920000
1,0,0,3,1,4,1000,85,8.2,1930,1575000
1,0,0,2,1,0,1000,81.79,36.9,1980,655000
1,0,0,4,2,2,999,274,10.7,1972,2840000
1,0,0,2,2,1,997,92,1.3,2001,1300000
1,0,0,5,2,1,994,274,10.7,1935,1700000
1,0,0,4,1,10,993,128,23.2,1966,925000
1,0,0,4,3,4,992,374,5.6,1935,3550000
1,0,0,5,2,2,992,198,23.2,1970,930000
1,0,0,4,2,2,990,267,12.1,2003,1800000
1,0,0,5,2,2,981,260,9.7,1960,2450000
1,0,0,1,1,0,980,74,5,1920,517500
1,0,0,4,2,2,978,144,45.9,1980,521000
1,0,0,4,2,8,977,304,13,1935,1000000
1,0,0,6,3,2,976,186,13.5,1980,725000
1,0,0,2,1,1,976,71,9.1,2000,470000
1,0,0,3,2,2,975,147,9.7,1985,1300000
1,0,0,5,2,2,974,200,23,1975,865000
1,0,0,3,2,1,972,149,35.5,1996,601000
1,0,0,3,1,2,971,113,13.5,1960,830000
1,0,0,5,4,2,968,353,12.4,1970,1705000
1,0,0,2,1,6,968,141,13.3,1950,1190000
1,0,0,3,1,2,968,118,24.8,1955,740000
1,0,0,4,3,2,967,470,8.4,1996,4750000
1,0,0,2,1,1,967,72,11.4,1970,405000
1,0,0,6,3,4,966,332,18,1990,1115000
1,0,0,2,1,2,966,87,6.2,1970,802500
1,0,0,5,2,2,963,225,10.3,1925,1901000
1,0,0,2,1,1,963,86,6.2,2012,582000
1,0,0,3,2,1,962,142,13.8,1970,1051000
1,0,0,4,3,4,960,325,8.4,1910,2520000
1,0,0,4,2,2,960,179,22.2,1985,1120000
1,0,0,4,3,4,958,255,9.7,2015,2000000
1,0,0,5,4,4,957,400,5.6,1930,4850000
1,0,0,5,3,4,957,320,5.2,1995,2545000
1,0,0,4,2,3,951,238,7.5,1930,2165000
1,0,0,2,1,1,951,76,11.2,1970,656000
1,0,0,3,1,2,950,121,11.2,1960,905000
1,0,0,3,2,3,949,175,9.2,1940,2100000
1,0,0,4,2,2,949,293,11.2,1910,2050000
1,0,0,4,4,3,948,311,7.5,1960,2081000
1,0,0,4,3,3,948,249,9,1960,1740000
1,0,0,4,2,3,947,225,7.7,1930,2500000
1,0,0,3,2,2,947,104,26.5,1978,730000
1,0,0,3,1,0,947,132,20.6,1972,582500
1,0,0,3,1,2,944,104,24.8,1981,760000
1,0,0,3,2,4,941,97,21.3,1950,1400000
1,0,0,5,2,1,939,236,10.3,1930,1930000
1,0,0,4,2,2,937,191,38,1960,980000
1,0,0,4,2,3,936,262,11.2,1985,885000
1,0,0,4,2,4,935,241,9.7,1927,3270000
1,0,0,3,1,1,935,130,12.9,1975,755000
1,0,0,4,2,2,935,210,31.7,2005,600000
1,0,0,4,3,1,934,199,5.1,2014,1502000
1,0,0,2,1,1,934,68,8.1,2012,580000
1,0,0,4,3,2,933,107,13.8,1960,1815000
1,0,0,4,2,3,932,270,11.4,1970,1880000
1,0,0,2,1,3,932,97,10.5,1950,920000
1,0,0,4,2,2,931,199,11.8,1930,2200000
1,0,0,3,1,1,931,145,11.7,1970,1755000
1,0,0,2,1,1,931,121,11.2,1970,836000
1,0,0,4,4,3,929,266,9.7,1960,1850000
1,0,0,4,3,2,928,300,13.7,1904,3250000
1,0,0,4,3,2,928,229,11.7,1996,2000000
1,0,0,3,2,2,928,130,12.8,1970,875000
1,0,0,3,1,2,927,141,11.4,1960,1020000
1,0,0,4,2,2,925,208,7.9,1925,2265000
1,0,0,4,2,2,925,218,13.9,1960,1868000
1,0,0,4,2,1,921,174,11.7,1950,1682000
1,0,0,2,1,1,921,84,7.5,1970,580000
1,0,0,4,2,2,920,333,11.2,1990,4225000
1,0,0,5,2,3,920,241,5.6,1900,2800000
1,0,0,4,2,3,920,256,7.5,1990,2100000
1,0,0,5,3,2,919,353,9.2,1925,3730000
1,0,0,2,1,1,919,82,8.7,2010,790000
1,0,0,3,2,2,918,145,19.9,1975,882500
1,0,0,5,3,2,915,233,10.7,1960,2550000
1,0,0,3,1,0,915,101,31.6,1970,515000
1,0,0,2,1,1,915,73,6.2,1970,615888
1,0,0,4,2,2,914,204,18.8,1980,1080000
1,0,0,2,1,2,914,89,17.5,1970,575000
1,0,0,3,2,2,913,112,11.2,1950,1051000
1,0,0,2,1,1,912,75,11.4,2008,468250
1,0,0,4,2,2,908,208,9.7,1960,1370000
1,0,0,3,1,1,907,165,12.4,1960,980000
1,0,0,4,3,2,907,170,23,1970,860000
1,0,0,4,4,2,905,373,4.6,1913,5050000
1,0,0,3,1,2,905,183,16.1,1962,830000
1,0,0,4,3,1,904,420,9.2,2003,3360000
1,0,0,2,1,1,904,53,8.7,1985,399000
1,0,0,3,1,1,904,110,5.6,1980,732000
1,0,0,4,1,2,903,235,11.8,1985,2250000
1,0,0,3,2,1,903,131,14.9,1950,1040000
1,0,0,3,1,4,902,129,7,1920,1930000
1,0,0,4,2,4,902,233,13,1950,1815000
1,0,0,5,3,2,900,355,9.2,1955,2200000
1,0,0,5,3,2,900,355,9.2,1955,1920000
1,0,0,5,3,4,900,180,6.7,1888,1500000
1,0,0,3,1,2,900,125,13.8,1960,1290000
1,0,0,5,6,3,900,178,27,1960,1260000
1,0,0,3,2,2,900,195,13.9,1970,1250000
1,0,0,4,2,2,900,281,23.3,1994,1218000
